C,split,accuracy,f1_macro
0.001,training,0.7616666666666667,0.766045768590481
0.001,validation,0.66,0.6696159402852333
0.001,testing,0.6625,0.6706761559645235
0.01,training,0.7616666666666667,0.766045768590481
0.01,validation,0.66,0.6696159402852333
0.01,testing,0.6625,0.6706761559645235
0.1,training,0.7666666666666667,0.7715201611371781
0.1,validation,0.665,0.6752922678290112
0.1,testing,0.6675,0.67519638674238
1.0,training,0.9808333333333333,0.9808738525947807
1.0,validation,0.8625,0.8629539618566606
1.0,testing,0.8975,0.8978824646167446
10.0,training,1.0,1.0
10.0,validation,0.8675,0.8683320709023291
10.0,testing,0.8975,0.8977865043050355
100.0,training,1.0,1.0
100.0,validation,0.8675,0.8683320709023291
100.0,testing,0.9025,0.9026302788618059
1000.0,training,1.0,1.0
1000.0,validation,0.8675,0.8683320709023291
1000.0,testing,0.9025,0.9026302788618059
10000.0,training,1.0,1.0
10000.0,validation,0.8675,0.8683320709023291
10000.0,testing,0.9025,0.9026302788618059
