feature,min,low_upper,high_lower,max
battery_power,501.0,950.0999999999999,1548.8999999999999,1998.0
blue,0.0,0.3,0.7,1.0
clock_speed,0.5,1.25,2.25,3.0
dual_sim,0.0,0.3,0.7,1.0
fc,0.0,5.7,13.299999999999999,19.0
four_g,0.0,0.3,0.7,1.0
int_memory,2.0,20.599999999999998,45.4,64.0
m_dep,0.1,0.37,0.73,1.0
mobile_wt,80.0,116.0,164.0,200.0
n_cores,1.0,3.1,5.8999999999999995,8.0
pc,0.0,6.0,14.0,20.0
px_height,0.0,588.0,1372.0,1960.0
px_width,500.0,949.4,1548.6,1998.0
ram,256.0,1378.6,2875.3999999999996,3998.0
sc_h,5.0,9.2,14.799999999999999,19.0
sc_w,0.0,5.3999999999999995,12.6,18.0
talk_time,2.0,7.3999999999999995,14.6,20.0
three_g,0.0,0.3,0.7,1.0
touch_screen,0.0,0.3,0.7,1.0
wifi,0.0,0.3,0.7,1.0
