antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,label,rule_score
frozenset({'ram_low'}),frozenset({'price_range_0'}),0.302,0.25,0.2305,0.7632450331125828,3.0529801324503314,1.0,0.15500000000000003,3.167832167832169,0.9633971247257427,0.7169517884914464,0.6843267108167771,0.8426225165562915,0,0.5371046280864876
frozenset({'ram_high'}),frozenset({'price_range_3'}),0.293,0.25,0.225,0.7679180887372015,3.071672354948806,1.0,0.15175,3.2316176470588247,0.9539525381109538,0.7075471698113209,0.6905574516496019,0.8339590443686007,3,0.5307283719088167
"frozenset({'px_height_low', 'ram_low'})",frozenset({'price_range_0'}),0.154,0.25,0.1375,0.8928571428571429,3.5714285714285716,1.0,0.099,7.0000000000000036,0.851063829787234,0.5159474671669794,0.8571428571428572,0.7214285714285715,0,0.43845663265306134
"frozenset({'three_g_high', 'ram_high'})",frozenset({'price_range_3'}),0.221,0.25,0.1735,0.7850678733031674,3.1402714932126696,1.0,0.11825,3.4894736842105263,0.8749116764639511,0.5831932773109244,0.7134238310708899,0.7395339366515836,3,0.4277341065907741
"frozenset({'three_g_high', 'ram_low'})",frozenset({'price_range_0'}),0.2245,0.25,0.1735,0.7728285077951002,3.0913140311804006,1.0,0.11737499999999998,3.301470588235293,0.8723571480331551,0.5764119601328902,0.6971046770601336,0.7334142538975501,0,0.41450114830779594
"frozenset({'ram_low', 'fc_low'})",frozenset({'price_range_0'}),0.207,0.25,0.1595,0.7705314009661837,3.0821256038647347,1.0,0.10775000000000001,3.2684210526315804,0.8518897721837236,0.5361344537815126,0.6940418679549115,0.7042657004830919,0,0.3787924922401924
"frozenset({'ram_high', 'fc_low'})",frozenset({'price_range_3'}),0.1965,0.25,0.153,0.7786259541984732,3.114503816793893,1.0,0.103875,3.387931034482758,0.8449552814280659,0.5212947189097105,0.7048346055979643,0.6953129770992366,3,0.37103012644950756
"frozenset({'ram_high', 'four_g_high'})",frozenset({'price_range_3'}),0.153,0.25,0.124,0.8104575163398693,3.241830065359477,1.0,0.08574999999999999,3.956896551724138,0.8164489469474806,0.4444444444444444,0.7472766884531591,0.6532287581699346,3,0.3257933273527276
"frozenset({'battery_power_low', 'ram_low'})",frozenset({'price_range_0'}),0.093,0.25,0.0885,0.9516129032258064,3.8064516129032255,1.0,0.06525,15.499999999999979,0.8128865883056454,0.3477406679764244,0.9354838709677419,0.6528064516129032,0,0.3205707596253901
"frozenset({'ram_high', 'px_height_medium'})",frozenset({'price_range_3'}),0.111,0.25,0.099,0.8918918918918919,3.5675675675675675,1.0,0.07125000000000001,6.9375,0.8095578961720694,0.37786259541984735,0.8558558558558559,0.643945945945946,3,0.31500657414170924
"frozenset({'ram_high', 'battery_power_high'})",frozenset({'price_range_3'}),0.091,0.25,0.086,0.945054945054945,3.78021978021978,1.0,0.06325,13.649999999999993,0.8090925371606928,0.3372549019607843,0.9267399267399267,0.6445274725274726,3,0.30723632411544494
"frozenset({'ram_low', 'four_g_high'})",frozenset({'price_range_0'}),0.1565,0.25,0.122,0.7795527156549521,3.1182108626198084,1.0,0.082875,3.4021739130434785,0.8053388010533783,0.4288224956063269,0.7060702875399362,0.633776357827476,0,0.29655878900468513
"frozenset({'ram_high', 'blue_high'})",frozenset({'price_range_3'}),0.15,0.25,0.1185,0.79,3.16,1.0,0.08099999999999999,3.571428571428572,0.8041697691734921,0.42095914742451146,0.7200000000000001,0.632,3,0.2958234
"frozenset({'dual_sim_high', 'ram_high'})",frozenset({'price_range_3'}),0.161,0.25,0.1235,0.7670807453416149,3.0683229813664594,1.0,0.08324999999999999,3.2199999999999993,0.8034434670153884,0.42956521739130427,0.6894409937888198,0.6305403726708074,3,0.2906759577176806
"frozenset({'touch_screen_high', 'ram_low'})",frozenset({'price_range_0'}),0.157,0.25,0.121,0.7707006369426751,3.0828025477707004,1.0,0.08174999999999999,3.2708333333333326,0.8014470162642274,0.423076923076923,0.6942675159235668,0.6273503184713376,0,0.28748606434338103
"frozenset({'ram_high', 'px_width_high'})",frozenset({'price_range_3'}),0.096,0.25,0.0865,0.9010416666666666,3.6041666666666665,1.0,0.06249999999999999,7.5789473684210495,0.7992736201340221,0.33333333333333337,0.8680555555555555,0.6235208333333333,3,0.28090912543402774
"frozenset({'px_width_low', 'ram_low'})",frozenset({'price_range_0'}),0.09,0.25,0.0825,0.9166666666666667,3.666666666666667,1.0,0.060000000000000005,9.000000000000009,0.7992007992007992,0.3203883495145632,0.888888888888889,0.6233333333333334,0,0.2772916666666667
"frozenset({'dual_sim_high', 'ram_low'})",frozenset({'price_range_0'}),0.15,0.25,0.1155,0.77,3.08,1.0,0.07800000000000001,3.2608695652173916,0.7944996180290299,0.4059753954305799,0.6933333333333334,0.616,0,0.2739198
"frozenset({'wifi_high', 'ram_high'})",frozenset({'price_range_3'}),0.152,0.25,0.1165,0.7664473684210527,3.0657894736842106,1.0,0.07850000000000001,3.211267605633803,0.7945987529354605,0.4080560420315236,0.6885964912280702,0.6162236842105263,3,0.2737477709487535
"frozenset({'touch_screen_high', 'ram_high'})",frozenset({'price_range_3'}),0.1435,0.25,0.112,0.7804878048780488,3.1219512195121952,1.0,0.076125,3.416666666666667,0.7935639229422066,0.3978685612788633,0.7073170731707318,0.6142439024390244,3,0.2729042236763831
"frozenset({'wifi_high', 'ram_low'})",frozenset({'price_range_0'}),0.1505,0.25,0.1155,0.7674418604651163,3.0697674418604652,1.0,0.077875,3.2250000000000005,0.7936932598498225,0.4052631578947369,0.689922480620155,0.6147209302325581,0,0.27210275824770147
"frozenset({'ram_low', 'blue_high'})",frozenset({'price_range_0'}),0.143,0.25,0.1115,0.7797202797202798,3.118881118881119,1.0,0.07575000000000001,3.404761904761906,0.7927330190308252,0.39609236234458256,0.7062937062937064,0.6128601398601399,0,0.2711518167147538
"frozenset({'blue_low', 'ram_low'})",frozenset({'price_range_0'}),0.159,0.25,0.119,0.7484276729559748,2.993710691823899,1.0,0.07924999999999999,2.9812499999999993,0.791874419208825,0.41034482758620683,0.6645702306079664,0.6122138364779874,0,0.26662853526363667
"frozenset({'ram_low', 'wifi_low'})",frozenset({'price_range_0'}),0.1515,0.25,0.115,0.7590759075907592,3.0363036303630366,1.0,0.077125,3.113013698630138,0.7903973764443646,0.4013961605584643,0.6787678767876789,0.6095379537953796,0,0.265050267402978
"frozenset({'ram_low', 'dual_sim_low'})",frozenset({'price_range_0'}),0.152,0.25,0.115,0.7565789473684211,3.0263157894736845,1.0,0.07700000000000001,3.081081081081082,0.7895816242821987,0.40069686411149824,0.6754385964912282,0.6082894736842106,0,0.26330938365650974
"frozenset({'ram_low', 'sc_w_medium'})",frozenset({'price_range_0'}),0.115,0.25,0.095,0.8260869565217391,3.3043478260869565,1.0,0.06625,4.3125,0.7879869164436516,0.35185185185185186,0.7681159420289855,0.6030434782608696,0,0.2593194706994329
"frozenset({'ram_low', 'sc_w_low'})",frozenset({'price_range_0'}),0.1645,0.25,0.1205,0.7325227963525835,2.930091185410334,1.0,0.079375,2.8039772727272725,0.7884065744417212,0.4098639455782313,0.6433637284701114,0.6072613981762918,0,0.25863620993893255
"frozenset({'ram_high', 'touch_screen_low'})",frozenset({'price_range_3'}),0.1495,0.25,0.113,0.7558528428093646,3.0234113712374584,1.0,0.075625,3.0719178082191787,0.7868874633869716,0.39441535776614317,0.6744704570791528,0.6039264214046823,3,0.2582337110323151
"frozenset({'ram_high', 'sc_w_low'})",frozenset({'price_range_3'}),0.1565,0.25,0.1165,0.744408945686901,2.977635782747604,1.0,0.077375,2.934375,0.7873895555764734,0.4017241379310345,0.6592119275825347,0.6052044728434505,3,0.2582314201431065
"frozenset({'ram_high', 'wifi_low'})",frozenset({'price_range_3'}),0.141,0.25,0.1085,0.7695035460992908,3.0780141843971633,1.0,0.07325000000000001,3.2538461538461547,0.7859315568955437,0.38407079646017694,0.6926713947990545,0.6017517730496454,3,0.2569868970373724
"frozenset({'px_width_medium', 'ram_low'})",frozenset({'price_range_0'}),0.1255,0.25,0.1,0.7968127490039841,3.1872509960159365,1.0,0.068625,3.6911764705882364,0.7847341337907375,0.3629764065335754,0.7290836653386455,0.5984063745019921,0,0.2539642227901145
"frozenset({'ram_low', 'touch_screen_low'})",frozenset({'price_range_0'}),0.145,0.25,0.1095,0.7551724137931035,3.020689655172414,1.0,0.07325000000000001,3.063380281690142,0.7823973937888864,0.3835376532399299,0.6735632183908047,0.5965862068965517,0,0.2497849940546968
"frozenset({'ram_high', 'sc_h_high'})",frozenset({'price_range_3'}),0.1045,0.25,0.0875,0.8373205741626794,3.3492822966507174,1.0,0.061375,4.610294117647057,0.7832814867990748,0.3277153558052434,0.7830940988835725,0.5936602870813397,3,0.24538701037064165
"frozenset({'ram_high', 'battery_power_medium'})",frozenset({'price_range_3'}),0.1085,0.25,0.0895,0.8248847926267281,3.2995391705069124,1.0,0.062375,4.282894736842104,0.7817469145279596,0.3327137546468401,0.7665130568356374,0.591442396313364,3,0.24359570175624878
"frozenset({'four_g_low', 'ram_low'})",frozenset({'price_range_0'}),0.1455,0.25,0.1085,0.7457044673539519,2.9828178694158076,1.0,0.072125,2.9493243243243246,0.7779362712449407,0.3780487804878049,0.6609392898052692,0.5898522336769759,0,0.24133661624213223
