method,seed,accuracy,precision_macro,recall_macro,f1_macro
Original KMeans,0,0.2945,0.2940422403174395,0.2945,0.2926366845810293
Original KMeans,10,0.2955,0.2953362628307653,0.2955,0.29364845105191356
Original KMeans,42,0.297,0.29662298991082614,0.297,0.29503453092077575
Original KMeans,100,0.2955,0.2949945171704761,0.2955,0.29350966156754504
Original KMeans,999,0.2985,0.2983671028115222,0.2985,0.29557867049703057
ARM-guided KMeans,0,0.6765,0.6558125367166822,0.6765,0.6601460920228357
ARM-guided KMeans,10,0.676,0.6551300766358158,0.676,0.6596173805159202
ARM-guided KMeans,42,0.6785,0.658118329983544,0.6785,0.6623834794158285
ARM-guided KMeans,100,0.6775,0.6569037864560195,0.6775,0.6612820958890603
ARM-guided KMeans,999,0.6775,0.6569474396679889,0.6775,0.6612818212118668
