antecedents,consequents,support,confidence,lift,rule_score
ram_low,price_range_0,0.2305,0.7632450331125828,3.0529801324503314,0.5371046280864876
ram_high,price_range_3,0.225,0.7679180887372015,3.071672354948806,0.5307283719088167
"px_height_low, ram_low",price_range_0,0.1375,0.8928571428571429,3.5714285714285716,0.43845663265306134
"ram_high, three_g_high",price_range_3,0.1735,0.7850678733031674,3.1402714932126696,0.4277341065907741
"ram_low, three_g_high",price_range_0,0.1735,0.7728285077951002,3.0913140311804006,0.41450114830779594
"fc_low, ram_low",price_range_0,0.1595,0.7705314009661837,3.0821256038647347,0.3787924922401924
"fc_low, ram_high",price_range_3,0.153,0.7786259541984732,3.114503816793893,0.37103012644950756
"four_g_high, ram_high",price_range_3,0.124,0.8104575163398693,3.241830065359477,0.3257933273527276
"battery_power_low, ram_low",price_range_0,0.0885,0.9516129032258064,3.8064516129032255,0.3205707596253901
"px_height_medium, ram_high",price_range_3,0.099,0.8918918918918919,3.5675675675675675,0.31500657414170924
"battery_power_high, ram_high",price_range_3,0.086,0.945054945054945,3.78021978021978,0.30723632411544494
"four_g_high, ram_low",price_range_0,0.122,0.7795527156549521,3.1182108626198084,0.29655878900468513
"blue_high, ram_high",price_range_3,0.1185,0.79,3.16,0.2958234
"dual_sim_high, ram_high",price_range_3,0.1235,0.7670807453416149,3.0683229813664594,0.2906759577176806
"ram_low, touch_screen_high",price_range_0,0.121,0.7707006369426751,3.0828025477707004,0.28748606434338103
